solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
  55.6346,    3.60,    3.60  7.664, < 1.000, 0.000,-0.000>, 
  111.269,    7.20,    7.20  7.664, < 1.000, 0.000,-0.000>, 
  166.904,   10.80,   10.80  7.664, < 1.000, 0.000,-0.000>, 
  222.538,   14.40,   14.40  7.664, < 1.000,-0.000,-0.000>, 
  278.173,   18.00,   18.00  7.664, < 1.000,-0.000,-0.000>, 
  333.808,   21.60,   21.60  7.664, < 1.000, 0.000,-0.000>, 
  389.442,   25.20,   25.20  7.664, < 1.000, 0.000,-0.000>, 
  445.077,   28.80,   28.80  7.664, < 1.000, 0.000,-0.000>, 
  500.711,   32.40,   32.40  7.664, < 1.000, 0.000,-0.000>, 
  556.346,   36.00,   36.00  7.664, < 1.000, 0.000,-0.000>, 
  611.981,   39.60,   39.60  7.664, < 1.000, 0.000, 0.000>, 
  667.615,   43.20,   43.20  7.664, < 1.000, 0.000,-0.000>, 
   723.25,   46.80,   46.80  7.664, < 1.000, 0.000,-0.000>, 
  778.884,   50.40,   50.40  7.664, < 1.000,-0.000,-0.000>, 
  834.519,   54.00,   54.00  7.664, < 1.000, 0.000,-0.000>, 
  890.153,   57.60,   57.60  7.664, < 1.000, 0.000,-0.000>, 
  945.788,   61.20,   61.20  7.664, < 1.000,-0.000, 0.000>, 
  1001.42,   64.80,   64.80  7.664, < 1.000, 0.000,-0.000>, 
  1057.06,   68.40,   68.40  7.664, < 1.000, 0.000,-0.000>, 
  1112.69,   72.00,   72.00  7.664, < 1.000, 0.000, 0.000>, 
  1168.33,   75.60,   75.60  7.664, < 1.000, 0.000,-0.000>, 
  1223.96,   79.20,   79.20  7.664, < 1.000, 0.000, 0.000>, 
   1279.6,   82.80,   82.80  7.664, < 1.000, 0.000, 0.000>, 
  1335.23,   86.40,   86.40  7.664, < 1.000, 0.000, 0.000>, 
  1390.86,   90.00,   90.00  7.664, < 1.000, 0.000, 0.000>, 
   1446.5,   93.60,   93.60  7.664, < 1.000, 0.000, 0.000>, 
  1502.13,   97.20,   97.20  7.664, < 1.000, 0.000, 0.000>, 
  1557.77,  100.80,  100.80  7.664, < 1.000, 0.000, 0.000>, 
   1613.4,  104.40,  104.40  7.664, < 1.000, 0.000, 0.000>, 
  1669.04,  108.00,  108.00  7.664, < 1.000, 0.000, 0.000>, 
  1724.67,  111.60,  111.60  7.664, < 1.000, 0.000, 0.000>, 
  1780.31,  115.20,  115.20  7.664, < 1.000, 0.000, 0.000>, 
  1835.94,  118.80,  118.80  7.664, < 1.000, 0.000, 0.000>, 
  1891.58,  122.40,  122.40  7.664, < 1.000, 0.000, 0.000>, 
  1921.94,  124.36,  124.36  7.664, < 1.000, 0.000, 0.000>, 
  1947.21,  126.00,  126.00  7.664, < 1.000, 0.000, 0.000>, 
  2002.85,  129.60,  129.60  7.664, < 1.000, 0.000, 0.000>, 
  2058.48,  133.20,  133.20  7.664, < 1.000, 0.000, 0.000>, 
  2114.11,  136.80,  136.80  7.664, < 1.000, 0.000, 0.000>, 
  2169.75,  140.40,  140.40  7.664, < 1.000, 0.000, 0.000>, 
  2225.38,  144.00,  144.00  7.664, < 1.000, 0.000, 0.000>, 
  2281.02,  147.60,  147.60  7.664, < 1.000, 0.000, 0.000>, 
  2336.65,  151.20,  151.20  7.664, < 1.000, 0.000, 0.000>, 
  2392.29,  154.80,  154.80  7.664, < 1.000,-0.000, 0.000>, 
  2447.92,  158.40,  158.40  7.664, < 1.000,-0.000, 0.000>, 
  2503.56,  162.00,  162.00  7.664, < 1.000, 0.000, 0.000>, 
  2559.19,  165.60,  165.60  7.664, < 1.000, 0.000, 0.000>, 
  2614.83,  169.20,  169.20  7.664, < 1.000, 0.000, 0.000>, 
  2670.46,  172.80,  172.80  7.664, < 1.000,-0.000, 0.000>, 
   2726.1,  176.40,  176.40  7.664, < 1.000,-0.000, 0.000>, 
  2781.73,  180.00,  180.00  7.664, < 1.000, 0.000,-0.000>, 
  2837.36,  183.60,  183.60  7.664, < 1.000, 0.000,-0.000>, 
     2893,  187.20,  187.20  7.664, < 1.000, 0.000,-0.000>, 
  2948.63,  190.80,  190.80  7.664, < 1.000, 0.000,-0.000>, 
  3004.27,  194.40,  194.40  7.664, < 1.000, 0.000,-0.000>, 
   3059.9,  198.00,  198.00  7.664, < 1.000, 0.000,-0.000>, 
  3115.54,  201.60,  201.60  7.664, < 1.000, 0.000,-0.000>, 
  3171.17,  205.20,  205.20  7.664, < 1.000, 0.000,-0.000>, 
  3226.81,  208.80,  208.80  7.664, < 1.000,-0.000,-0.000>, 
  3282.44,  212.40,  212.40  7.664, < 1.000, 0.000,-0.000>, 
  3338.08,  216.00,  216.00  7.664, < 1.000, 0.000,-0.000>, 
  3393.71,  219.60,  219.60  7.664, < 1.000,-0.000,-0.000>, 
  3449.34,  223.20,  223.20  7.664, < 1.000, 0.000,-0.000>, 
  3504.98,  226.80,  226.80  7.664, < 1.000,-0.000,-0.000>, 
  3560.61,  230.40,  230.40  7.664, < 1.000,-0.000,-0.000>, 
  3616.25,  234.00,  234.00  7.664, < 1.000, 0.000,-0.000>, 
  3671.88,  237.60,  237.60  7.664, < 1.000,-0.000,-0.000>, 
  3727.52,  241.20,  241.20  7.664, < 1.000,-0.000, 0.000>, 
  3783.15,  244.80,  244.80  7.664, < 1.000, 0.000, 0.000>, 
  3800.95,  245.95,  245.95  7.664, < 1.000,-0.000,-0.000>, 
  3838.79,  248.40,  248.40  7.664, < 1.000,-0.000, 0.000>, 
  3894.42,  252.00,  252.00  7.664, < 1.000,-0.000, 0.000>, 
  3950.06,  255.60,  255.60  7.664, < 1.000,-0.000,-0.000>, 
  4005.69,  259.20,  259.20  7.664, < 1.000,-0.000, 0.000>, 
  4061.33,  262.80,  262.80  7.664, < 1.000,-0.000, 0.000>, 
  4116.96,  266.40,  266.40  7.664, < 1.000,-0.000,-0.000>, 
  4172.59,  270.00,  270.00  7.664, < 1.000,-0.000, 0.000>, 
  4228.23,  273.60,  273.60  7.664, < 1.000,-0.000, 0.000>, 
  4283.86,  277.20,  277.20  7.664, < 1.000,-0.000, 0.000>, 
   4339.5,  280.80,  280.80  7.664, < 1.000,-0.000, 0.000>, 
  4395.13,  284.40,  284.40  7.664, < 1.000,-0.000, 0.000>, 
  4450.77,  288.00,  288.00  7.664, < 1.000,-0.000, 0.000>, 
   4506.4,  291.60,  291.60  7.664, < 1.000,-0.000, 0.000>, 
  4562.04,  295.20,  295.20  7.664, < 1.000,-0.000, 0.000>, 
  4617.67,  298.80,  298.80  7.664, < 1.000,-0.000, 0.000>, 
  4673.31,  302.40,  302.40  7.664, < 1.000,-0.000, 0.000>, 
  4728.94,  306.00,  306.00  7.664, < 1.000,-0.000, 0.000>, 
  4784.57,  309.60,  309.60  7.664, < 1.000, 0.000, 0.000>, 
  4840.21,  313.20,  313.20  7.664, < 1.000,-0.000, 0.000>, 
  4895.84,  316.80,  316.80  7.664, < 1.000, 0.000, 0.000>, 
  4951.48,  320.40,  320.40  7.664, < 1.000,-0.000,-0.000>, 
  5007.11,  324.00,  324.00  7.664, < 1.000,-0.000, 0.000>, 
  5062.75,  327.60,  327.60  7.664, < 1.000,-0.000,-0.000>, 
  5118.38,  331.20,  331.20  7.664, < 1.000,-0.000, 0.000>, 
  5174.02,  334.80,  334.80  7.664, < 1.000,-0.000, 0.000>, 
  5229.65,  338.40,  338.40  7.664, < 1.000,-0.000, 0.000>, 
  5285.29,  342.00,  342.00  7.664, < 1.000,-0.000, 0.000>, 
  5340.92,  345.60,  345.60  7.664, < 1.000,-0.000,-0.000>, 
  5396.56,  349.20,  349.20  7.664, < 1.000, 0.000, 0.000>, 
  5452.19,  352.80,  352.80  7.664, < 1.000,-0.000,-0.000>, 
  5507.82,  356.40,  356.40  7.664, < 1.000,-0.000, 0.000>, 
  5563.46,  360.00,  360.00  7.664, < 1.000,-0.000,-0.000>, 

Celestial coordinates:
Time,    mean,   true,   X,   Y,   Z
        0,    0.00,    0.00,      -5192.3,       2572.2,         3532, 
  55.6346,    3.60,    3.60,        -5183,         2222,         3775, 
  111.269,    7.20,    7.20,      -5153.3,         1863,       4003.1, 
  166.904,   10.80,   10.80,      -5103.2,       1496.7,       4215.3, 
  222.538,   14.40,   14.40,      -5032.9,       1124.5,         4411, 
  278.173,   18.00,   18.00,      -4942.8,       747.87,       4589.2, 
  333.808,   21.60,   21.60,      -4833.2,       368.27,       4749.3, 
  389.442,   25.20,   25.20,      -4704.6,       -12.78,       4890.7, 
  445.077,   28.80,   28.80,      -4557.3,      -393.78,       5012.7, 
  500.711,   32.40,   32.40,      -4392.1,      -773.23,         5115, 
  556.346,   36.00,   36.00,      -4209.5,      -1149.6,       5197.1, 
  611.981,   39.60,   39.60,      -4010.3,      -1521.5,       5258.7, 
  667.615,   43.20,   43.20,      -3795.3,      -1887.3,       5299.6, 
   723.25,   46.80,   46.80,      -3565.3,      -2245.7,       5319.5, 
  778.884,   50.40,   50.40,      -3321.3,      -2595.3,       5318.4, 
  834.519,   54.00,   54.00,      -3064.1,      -2934.6,       5296.3, 
  890.153,   57.60,   57.60,      -2794.9,      -3262.3,       5253.4, 
