solar 1.367000048048794e+03
albedo 3.499999940395355e-01
planet 2.360000071348623e+02
useTimeVaryAlbIR 0
useTimeVarySolar 0
DiffuseSolarFlux 0.000000000000000e+00
UseTimeVaryDiffuseSolar 0
DiffuseSkyIRFlux 0.000000000000000e+00
UseTimeVaryDiffuseSkyIR 0
Period 5.563459258777771e+03
FullOrbit 1
IsTerrestrial 0
IsFmh 0
315
     Time,    mean,   true, Illum       Sun Vector              Planet Vector    Orbit Radius
  500.711,   32.40,   32.40,       5729.7,       3636.2,            0, 
  556.346,   36.00,   36.00,       5490.1,       3988.8,            0, 
  611.981,   39.60,   39.60,       5228.8,       4325.6,            0, 
  667.615,   43.20,   43.20,       4946.9,       4645.4,            0, 
   723.25,   46.80,   46.80,       4645.4,       4946.9,            0, 
  778.884,   50.40,   50.40,       4325.6,       5228.8,            0, 
  834.519,   54.00,   54.00,       3988.8,       5490.1,            0, 
  890.153,   57.60,   57.60,       3636.2,       5729.7,            0, 
  945.788,   61.20,   61.20,       3269.2,       5946.7,            0, 
  1001.42,   64.80,   64.80,       2889.4,       6140.3,            0, 
  1057.06,   68.40,   68.40,       2498.1,       6309.6,            0, 
  1112.69,   72.00,   72.00,         2097,         6454,            0, 
  1168.33,   75.60,   75.60,       1687.6,       6572.9,            0, 
  1223.96,   79.20,   79.20,       1271.6,       6665.9,            0, 
   1279.6,   82.80,   82.80,       850.53,       6732.6,            0, 
  1335.23,   86.40,   86.40,       426.11,       6772.7,            0, 
  1390.86,   90.00,   90.00,   9.0376e-10,       6786.1,            0, 
   1446.5,   93.60,   93.60,      -426.11,       6772.7,            0, 
  1502.13,   97.20,   97.20,      -850.53,       6732.6,            0, 
  1557.77,  100.80,  100.80,      -1271.6,       6665.9,            0, 
   1613.4,  104.40,  104.40,      -1687.6,       6572.9,            0, 
  1669.04,  108.00,  108.00,        -2097,         6454,            0, 
  1699.44,  109.97,  109.97,      -2317.4,       6378.2,            0, 
  1724.67,  111.60,  111.60,      -2498.1,       6309.6,            0, 
